19:28:39.99 +53:29:14.3
PALIAS,EPOCH,EPOCH_ERR_HIGH,EPOCH_ERR_LOW,PERIOD,PERIOD_ERR_HIGH,PERIOD_ERR,DURATION
1,2459846.9772847784,0.0001,0.0001,1134.67239633331,0.0001,0.0001,0.36185259495262584
2,2459846.9772847784,0.0001,0.0001,567.336198166655,0.0001,0.0001,0.36185259495262584
3,2459846.9772847784,0.0001,0.0001,378.2241321111033,0.0001,0.0001,0.36185259495262584
4,2459846.9772847784,0.0001,0.0001,283.6680990833275,0.0001,0.0001,0.36185259495262584
5,2459846.9772847784,0.0001,0.0001,226.93447926666198,0.0001,0.0001,0.36185259495262584
6,2459846.9772847784,0.0001,0.0001,189.11206605555165,0.0001,0.0001,0.36185259495262584
7,2459846.9772847784,0.0001,0.0001,162.09605661904428,0.0001,0.0001,0.36185259495262584
8,2459846.9772847784,0.0001,0.0001,141.83404954166375,0.0001,0.0001,0.36185259495262584
9,2459846.9772847784,0.0001,0.0001,126.0747107037011,0.0001,0.0001,0.36185259495262584
10,2459846.9772847784,0.0001,0.0001,113.46723963333099,0.0001,0.0001,0.36185259495262584
11,2459846.9772847784,0.0001,0.0001,103.1520360303009,0.0001,0.0001,0.36185259495262584
12,2459846.9772847784,0.0001,0.0001,94.55603302777583,0.0001,0.0001,0.36185259495262584
14,2459846.9772847784,0.0001,0.0001,81.04802830952214,0.0001,0.0001,0.36185259495262584
